ID	Russian	English
890000000000941	?? ??????? ?? ?? ???????? ? ?? ????????? ?? ??????! ??????? ? ?????? ??? ??????, ???? ???????? ??????? ????. ????? ??? ???? ?? ????????, ???????	But why? You're mercenaries?you work for money! Let me pay for a vacation while I settle matters here. You could clearly use some time off, couldn't you?
890000000000951	???. ????????. ?? ??? ?? ?????????????	Ahem. My apologies. Where were we?
890000000000957	??, ?????? ?? ?????? ????? <em>???????</em>. ?? ??????? ??? ? ????? ????? ??? ?? <em>????????? ????????</em>.	Yes. There's a <em>waterfall</em> farther down the road. We'll go around it and wait for you at the <em>Lookout</em>.
890000000000958	? <em>????????</em>, ????? ????, ????? ????????? ????? ???????: ??? ???????? ???????? ????? ?????. ?? ?????? ?? ?????, ??? ????? ??? ???????? ????????? ?????? ????.	There's a small Legion force by the river near the <em>waterfall</em>. They're trying to cut off Burda's squad, but they don't know about the secret paths along the mountains.
890000000000975	???? ??? ? ??????? ????? ??????? ?? ?????, ??? ??? ? ????!	If anyone is going to put my Herman in a noose, it'll be me!
890000000000982	??... ??? ?????????? ??? ??? ? ??! ? ?????????? ??? ???????	Um... Is it just me, or?hic?did that sound like a threat?
890000000000986	??? ???? ????????, man? ?? ???, ??? ?????? ?? ?????? ??????.	This your fortress, man? Looks more like a junkyard to me.
890000000000994	? ?????????, ??? ???, man. ???? ?????? ?? ?????.	I hope not, man?for your own sake.
890000000000998	? ?? ????? ?????, ??????.	I'm watching you, bandit.
890000000001040	????? ??? ??? ????? ?? ?????... ??, ? ????, ??? ???. ???????? ??????? ? ??????? ??????? ??? ?????? ????????. ??? ?????????? ?? ????? ? ??????, ? <em>??????? K4</em>.	Emma? So that's why you're here... Yes, I know where she is. The girl is brave?too brave for her age. She's sheltering in the villa to the north, in <em>sector K4</em>.
890000000001041	????????? ? ??? ????? ???????. ???? ???????, ???? ?????? ???????? ?? ????????. ?????? ? ???? ??? ???? ??? ??????, ? <em>?????? ????</em> ???? ????????? ??????? ?????????????. ???? ?????????? ?????????? ? ?????? ???????; ???????, ??? ????? <em>???????</em> ? ???. ????? ?? ???? ???? ???????????????. ???????? ??? ?? ????????, ?? ??? ??????? ??? ??????, ? ?? ???-?? ?????????. ? ????? ?????? ????? ???????: ???? ??????? ??? ????????, ?????? ????????? ?????? ??????? ???????.	"Complicated" doesn't begin to cover it. In short, our cell is cut off from the mainland. The Legion overran the entire country in no time, and <em>Ernie Island</em> became the last stronghold of the resistance. The president's daughter is hiding in the center of the island; they say that rat <em>Corazon</em> is with her. There's also a smugglers' base here. We aren't exactly friends, but they sell us weapons, and we manage to coexist. The Legion is everywhere: some sectors are still holding out, while others have been swallowed by the red plague.
890000000001043	??... ??, ??? ?????? ????? <em>????? ????????</em>, ????????????.	Well... everyone knows that the Major's name is <em>Spike Scallion</em>.
890000000001079	??????? ????? ?? ??????! ??-??-??!	There is no such thing as too much violence! Ha ha ha!
890000000001080	??, ??????, ???????? ?? ?? ????? ?????? ???, ??? ?? ????????. ??? ?? ??? ???? ????????	Looks like he and his gang are dug in tighter than a tick. How're we supposed to get in there?
890000000001087	??????, ????? ???????????. ? ????? ?????? ? ???? ??????.	Bonus pay is good. Food is good too.
890000000001094	???????? ???????????? ? ?????? ????? ??? ??????????????? ???????????!	Wide-open ground is the perfect place for a climactic shootout!
890000000001110	??, ???????. ? ?????? ?? ???? ??????????? ? ??? ????.	Yes, of course. I want nothing more to do with this affair.
890000000001117	??. ?????? ?????? ???????.	Yes. The fascist must die.
890000000001135	???? ?????????????? ?????? ???????? ???????: ??????? ??? ??? ???????? ???????? ????????????? ? ?????? ??????????. ?? ???? ?? ???????, ??? ????? ? ?????????? M.E.R.C., ?????????? ???????? ???.	Your first priority remains unchanged: restore our control over the diamond mines and rescue the president. But if you learn what happened to the M.E.R.C. mercenaries, report back to me immediately.
890000000001136	??, ??? ???? ?????, ? ?? <em>?????</em> ????? ?????? ??????... ??????? ?????, ???? ????...	Well, I should get home before <em>Martha</em> starts nagging me again... How much can one man take, for fuck's sake...
890000000001142	??? ?? ???????, ????? ???????? ??? ?? ???? ????????.	I can't wait to make him regret it.
890000000001144	?????? ?? ????? ??????. ?????? ????? ?????, ????? ?... ????? ???. ??-??!	Fidel does not need money. Fidel needs blood, screams, and... body parts. Ha ha!
890000000001159	?? ??! ???????? ?? <em>???????</em> ????? ???? ?? ??? ???????. ????? ??? ???????? ? ?????, ?? ????? ???? ?????? ??????? ? ???????? ?????? ???????? ?????? ??? ????!	Oh, yes! The boys in <em>the Legion</em> respect me for it. Whenever they visit, they're terribly polite and bring me all sorts of useful bomb parts!
890000000001161	???????? ????????. ???? ? ???????? ?????.	Not a bad appetizer. Let's get to the main course.
890000000001166	?????????? ?? ???????? ??????, ????????.	Frontier justice is harsh, kemosabe.
890000000001168	...? ?????? ??????? ?????, ???????, ? ???????? ??...	...Holy chicken leg, I think I stepped on...
890000000001169	?????, ????? ????????? ??????? ????? ?? ????.	How about a fistful of teeth? I'll knock them out of your mouth first.
890000000001170	??????? ??... ??, ? ????? ?? ?? ???? ????????? ????? ?????????? ?????? ??????? ?? ?????? ? ???????? ???????. ? ????? ???? ????????????, ??? ??? ??? ???? ???. ??? ????? ?????????? ?????? ????? ????? ????????? ?????.	Really? Well... yes, but why would they report it? Broadcasting something like that would only spread panic through the neighboring towns. I merely assumed it might have been gas. It's the most practical way to kill a great many people at once.
890000000001171	???? ? ?????? ????????? ???? ?????????. ?????, ????!	Time for you and your bandits to mosey on out. Move!
890000000001173	? ?? ?????? ??? ??????? ??????. ??... ????????? ?????.	And don't forget Stella's compensation. For... emotional distress.
890000000001242	??????? ?????, ?? ?????????. ??? ? ????: ???????? ????????????, ?????? ????????? ??????...	Honestly? I think you've got potential. I can see it now: opening a travel agency, leading tours...
890000000001282	??, ???????? ???? ?? ??????????.	Well, at least the girl tried.
890000000001283	???????? ???????. ? ???? ???????? ?? ????????.	Nice speech. I dozed off halfway through.
890000000001284	????????, ???? ??????. ? ????? ???? ????? ?????? ? ???? ?????? ?? ??????!	Get out while you can, and don't ever set foot in this town again!
890000000001286	?? ???? ? ?????? ?? ???????! ?? ???? ??????? ????, ? ???? ???????? ? ??? ????? ?????????? ???????????????. ???????, ? ?????? ??? ?????? ? ????????? ? ???? ???.	For what? I haven't done anything! Faucheux is to blame for all of this, and your aggression toward me is entirely unjustified. Nevertheless, I'm willing to forget the whole affair and make peace with you.
890000000001302	??, ?????? ???????! ??????????? ? ?? ??? ? ??? ?????????, ?? ?????.	Ooh, I love secrets! Will you tell me? I'm a mime?you know I won't make a sound.
890000000001329	?? ?????, ????? ??????? ???? ??????? ?? ????.	We're here to return a young lady to her father.
890000000001337	?????????? ?? ???? ? ????. ??? ????? ????????.	Desperados don't rough a man up. They shoot first.
890000000001338	?????, ???? ??????, ????? ??? ????????.	Run along now, or you'll get another beating.
890000000001359	?????? ????? ?????, ??? ??! ?????? ????! ??????-?? ? ???, ????	Now we can kill him, yes? Ah?! Why not?! We have the diamonds, don't we?
890000000001373	???, ???????, ????, ?? ????? ???? ???????? ??????? ? ???? ????? ?? ???? ???????. ?????, ???????? ????????, ??	That's sweet and all, but that fucking landing filled my ass crack with sand. How about you cough up some more, huh?
890000000001374	????????, ?????????? ?? ?? ???. ???????, ??? ?????? ???????? ??? ??????: <em>??????</em> ?????? ?????????????.	Clearly, it did not work. I hope my mistake serves as a lesson: never underestimate <em>the Major</em>.
890000000001380	??? ???? ???????? ? ????? ?? <em>??????? ??????????</em>? ???, ??? ?? ??? ???????. ? ?????? ?? ????????? ? <em>???????</em>!	What is this? An employment contract with <em>Spike Scallion</em>? No, that isn't my signature. I never signed anything with <em>the Major</em>!
