component_id,display_name,slot,cost,modification_difficulty,effects,parameters,additional_costs,group,used_by_count,source,snapshot_commit
JAZZ_Reflex_M68,Коллиматор Aimpoint M68,Scope,50,0,DecreaseMaxAimActions;ExtraOverwatchShots;ScopeOverwatchAngleIncreace;MinAim;OpportunityAttackBonusCth;ScopeHandlingReduce,OverwatchAngleIncrease=120;MaxAimActionsDecrease=1;extra_attacks=1;ScopeHandlingReduce=2,Microchip=1;OpticalLens=1,Scope,50,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Reflex_Open,Коллиматор Компактный,Scope,50,0,DecreaseMaxAimActions;ExtraOverwatchShots;ScopeOverwatchAngleIncreaceBig;MinAim;OpportunityAttackBonusCth,OverwatchAngleIncrease=120;MaxAimActionsDecrease=1;extra_attacks=1,Microchip=1;OpticalLens=1,Scope,16,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Reflex_Pistol,Коллиматор Пистолетный,Scope,50,0,DecreaseMaxAimActions;ExtraOverwatchShots;ScopeOverwatchAngleIncreaceBig;MinAim;OpportunityAttackBonusCth,OverwatchAngleIncrease=120;MaxAimActionsDecrease=1;extra_attacks=1,Microchip=1;OpticalLens=1,Scope,5,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Reflex_PKAS,Коллиматор ПК-АА,Scope,50,0,DecreaseMaxAimActions;ExtraOverwatchShots;ScopeOverwatchAngleIncreace;MinAim;OpportunityAttackBonusCth;ScopeHandlingReduce,OverwatchAngleIncrease=120;MaxAimActionsDecrease=1;extra_attacks=1;ScopeHandlingReduce=3,Microchip=1;OpticalLens=1,Scope,8,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_12x,Оптический Прицел Leupold Mark 4 (12x),Scope,50,0,IncreaseMaxAimActions;ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,IncreaseMaxAimActions=1;ShotAP=1;ScopeMagnification=10;ScopeAimLevel=4;ScopeHandlingReduce=30,OpticalLens=2;FineSteelPipe=1,Scope,48,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_3x_9x,Оптический Прицел Redfield (3-9x),Scope,50,0,IncreaseMaxAimActions;ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig;SmallMagnification,IncreaseMaxAimActions=1;ShotAP=1;ScopeMagnification=9;ScopeSubMagnification=;ScopeAimLevel=4;SmallAimLevel=2;SmallMagnification=3;SmallSubMagnification=;ScopeHandlingReduce=16,OpticalLens=2;FineSteelPipe=1,Scope,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_6x,Оптический Прицел 1-6x,Scope,50,0,ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,ShotAP=1;ScopeMagnification=6;ScopeAimLevel=3;ScopeHandlingReduce=20,OpticalLens=2;FineSteelPipe=1,Scope,48,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_8x_SCROME,Оптический Прицел 8x,Scope,50,0,ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,IncreaseMaxAimActions=1;ShotAP=2;ScopeMagnification=8;ScopeAimLevel=3;ScopeHandlingReduce=16,OpticalLens=2;FineSteelPipe=1,Scope,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_DA15_6x,Оптический Прицел Zeiss Diavari-DA (1.5-6x),Scope,50,0,ScopeMagnification;SmallMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,ShotAP=1;ScopeMagnification=6;ScopeAimLevel=3;SmallAimLevel=1;SmallMagnification=1;SmallSubMagnification=5;ScopeHandlingReduce=12,OpticalLens=2;FineSteelPipe=1,Scope,8,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_Garand,Оптический Прицел M84 (2.2x),Scope,50,0,ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,ShotAP=1;ScopeMagnification=2;ScopeSubMagnification=2;ScopeAimLevel=2;ScopeHandlingReduce=12,OpticalLens=2;FineSteelPipe=1,Scope,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_PSG,Оптический Прицел Hensoldt ZF PSG1 (6x),Scope,50,0,ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,ShotAP=1;ScopeMagnification=6;ScopeSubMagnification=;ScopeAimLevel=3;ScopeHandlingReduce=16,OpticalLens=2;FineSteelPipe=1,Scope,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_PSO,Оптический Прицел ПСО (4x),Scope,50,0,ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,ShotAP=1;ScopeMagnification=4;ScopeAimLevel=3;ScopeHandlingReduce=16,OpticalLens=2;FineSteelPipe=1,Scope,8,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_PU,Оптический Прицел ПУ (3.5x),Scope,50,0,ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,IncreaseMaxAimActions=1;ShotAP=1;ScopeMagnification=3;ScopeSubMagnification=5;ScopeAimLevel=2;ScopeHandlingReduce=16,OpticalLens=2;FineSteelPipe=1,Scope,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_Scout,Оптический Прицел Vortex Crossfire II Scout Scope (2-7x),Scope,50,0,ScopeMagnification;SmallMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,ShotAP=1;ScopeMagnification=7;ScopeSubMagnification=;ScopeAimLevel=3;SmallAimLevel=1;SmallMagnification=2;SmallSubMagnification=;ScopeHandlingReduce=12,OpticalLens=2;FineSteelPipe=1,Scope,48,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_Springfield,Оптический Прицел (2.75x),Scope,50,0,ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,IncreaseMaxAimActions=1;ShotAP=1;ScopeMagnification=2;ScopeSubMagnification=7;ScopeAimLevel=3;ScopeHandlingReduce=20,OpticalLens=2;FineSteelPipe=1,Scope,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_ZF4,Оптический Прицел ZF4 (4x),Scope,50,0,ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,IncreaseMaxAimActions=1;ShotAP=1;ScopeMagnification=4;ScopeAimLevel=3;ScopeHandlingReduce=12,OpticalLens=2;FineSteelPipe=1,Scope,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Scope_ZRAK,Оптический Прицел ZRAK (4x),Scope,50,0,ScopeMagnification;IncreaseShotAP;CritBonusWhenFullyAimed;ScopeHandlingReduce;ScopeOverwatchAngleDecreaseBig,IncreaseMaxAimActions=1;ShotAP=1;ScopeMagnification=4;ScopeAimLevel=3;ScopeHandlingReduce=16,OpticalLens=2;FineSteelPipe=1,Scope,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
KSP_BIPOD,Сошка от KSP 58,Bipod,0,0,AccuracyBonusProne;ShotsBeforeRecoilProne,,,Default,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
LaserDot,Лазерный целеуказатель,Side,50,10,IncreaseCritChangeScaled;IncreaseOverwatchAngle;MarkWhenFullyAimed;LaserMark,CritChangeScaledIncrease=15;OverwatchAngleIncrease=140;LaserCTH=15;LaserDistance=10,Microchip=2,Side,51,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
LaserDot_aa12,Red Dot,Side,10,10,IncreaseCritChangeScaled;MarkWhenFullyAimed;IncreaseOverwatchAngle;LaserMark,CritChangeScaledIncrease=15;EffectiveRange=2;OverwatchAngleIncrease=140;LaserCTH=15;LaserDistance=10,Microchip=1,AA12 Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
LaserDot_Anaconda,Red Dot,Scope,10,10,IncreaseCritChangeScaled;IncreaseOverwatchAngle;MarkWhenFullyAimed;LaserMark,CritChangeScaledIncrease=15;EffectiveRange=2;OverwatchAngleIncrease=140;LaserCTH=15;LaserDistance=10,Microchip=1,Anaconda Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
LaserDot_PSG_M1,Red Dot,Side,10,10,MarkWhenFullyAimed,,Microchip=1,PSG1-Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
LROptics,Оптический прицел,Scope,50,0,IncreaseMaxAimActions;IncreaseShotAP;CritBonusWhenFullyAimed;ReduceAuto75Percent;ReduceBurst50Percent,IncreaseMaxAimActions=1;ShotAP=2;min_aim=2;AimAccuracyIncrease=5,OpticalLens=2;FineSteelPipe=1,Scope,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
LROptics_DragunovDefault,Sniper Scope x5,Scope,20,0,IncreaseMaxAimActions,IncreaseMaxAimActions=1,OpticalLens=1,Dragunov-Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
LROpticsAdvanced,Sniper Scope x10,Scope,100,10,IncreaseMaxAimActions;IncreaseShotAP;CritBonusWhenFullyAimed;ReduceAuto75Percent;ReduceBurst50Percent,AimAccuracyIncrease=7;IncreaseMaxAimActions=2;min_aim=3;ShotAP=3,OpticalLens=4;FineSteelPipe=4,Scope,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
M14_Default_Muzzle,Default Muzzle,Muzzle,2,-25,,,,M14 Specific,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
M16A1LaunchHandGuard,Гранатомет,Handguard,1,-10,GrenadeLauncher,,,Default,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
M16BarrelRedDot,ЛЦУ на уникальном спецкреплении,Side,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
M16Bayonet,Штык-нож для М16,Side2,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
M4ModernStanag,Кастомный магазин STANAG,Magazine,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
M60E3HandGrip,Цевье с рукоятью для cовременных М60,Mount,0,0,,,,Default,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
M60E4ModernMount,Современные крепления с планками для М60,Mount,0,0,,,,Default,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
M70_Fld_GL,Сложенный прицел,General,0,0,,,,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
M70_Grenade,Наствольная граната для М70,Muzzle,0,0,GrenadeLauncher,,,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
M70_Unfld_GL,Разложенный прицел,General,0,0,,,,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagBelt,Expanded Mag,Magazine,15,0,,,,Clip,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagBelt_100-200,Увеличенный короб,Magazine,100,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;ReduceAimAccuracy15Percent;MagazineSizeMultiplier,extra_shots=5;ReliabilityDecrease=15;ReloadAPIncrease=2;MagazineSizeMultiplier=200,,Clip,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagBelt_40-100,Короб,Magazine,50,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;ReduceAimAccuracy15Percent;MagazineSizeMultiplier,extra_shots=5;ReliabilityDecrease=15;ReloadAPIncrease=2;MagazineSizeMultiplier=250,,Clip,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagBeltLarge,LMG and MG Magazines,Magazine,25,0,ExtraBurstShots;ExtraOverwatchShots;ReduceReliabilityPercent,AimAccuracyDecrease=1;extra_shots=5;APincrease=2;ReliabilityDecreasePercent=33,,Clip,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagDrum_30-100,Бубен,Magazine,50,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;ReduceAimAccuracy15Percent;MagazineSizeMultiplier,extra_shots=5;ReliabilityDecrease=15;ReloadAPIncrease=2;MagazineSizeMultiplier=333,,Clip,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagDrum_30-100_cumbersome,Бубен,Magazine,50,0,MagazineHandlingDecrease;IncreaseReloadAP;ReduceAimAccuracy15Percent;MagazineSizeMultiplier,extra_shots=5;ReliabilityDecrease=15;ReloadAPIncrease=2;MagazineSizeMultiplier=333,,Clip,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagDrum_30-50,Бубен,Magazine,50,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;MagazineSizeAdd;ReduceAimAccuracy15Percent,extra_shots=5;ReliabilityDecrease=15;ReloadAPIncrease=2;MagazineSize=20,,Clip,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagDrum_30-75,Бубен,Magazine,50,0,MagazineHandlingDecrease;ExtraOverwatchShots;ReduceReliability;IncreaseReloadAP;ReduceAimAccuracy15Percent;MagazineSizeMultiplier;Cumbersome,extra_shots=5;ReliabilityDecrease=15;ReloadAPIncrease=2;MagazineSizeMultiplier=250,,Clip,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagDrum_35-71,Бубен,Magazine,50,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;ReduceAimAccuracy15Percent;MagazineSizeAdd,extra_shots=5;ReliabilityDecrease=15;ReloadAPIncrease=2;MagazineSize=36,,Clip,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge,Расширенный магазин,Magazine,15,0,MagazineHandlingDecrease;ReduceReliability;ReduceAimAccuracy15Percent;MagazineSizeMultiplier;IncreaseReloadAP,ReliabilityDecrease=15;ReloadAPIncrease=1;MagazineSizeMultiplier=166,,Clip,25,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_10_20,Магазин на 20 патрон,Magazine,25,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;MagazineSizeMultiplier,extra_shots=5;ReliabilityDecrease=5;ReloadAPIncrease=1;MagazineSizeMultiplier=200,,Clip,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_17_33,Магазин на 33 патрона,Magazine,15,0,MagazineHandlingDecrease;ReduceReliability;ReduceAimAccuracy15Percent;MagazineSizeAdd;IncreaseReloadAP,ReliabilityDecrease=15;ReloadAPIncrease=1;MagazineSize=16,,Clip,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_18_20,Магазин на 20 патрон,Magazine,25,0,ReduceReliability;MagazineSizeMultiplier,ReliabilityDecrease=5;MagazineSizeMultiplier=112,,Clip,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_20_30,Магазин на 30 патрон,Magazine,25,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;MagazineSizeAdd,extra_shots=5;ReliabilityDecrease=5;ReloadAPIncrease=1;MagazineSize=10,,Clip,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_25_40,Магазин на 40 патрон,Magazine,25,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;MagazineSizeAdd,extra_shots=5;ReliabilityDecrease=5;ReloadAPIncrease=1;MagazineSize=15,,Clip,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_30_40,Магазин на 40 патрон,Magazine,25,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;MagazineSizeAdd,extra_shots=5;ReliabilityDecrease=5;ReloadAPIncrease=1;MagazineSize=10;MagazineHandlingDecrease=5,,Clip,5,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_30_42,Магазин на 42 патрона,Magazine,25,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;MagazineSizeAdd,extra_shots=5;ReliabilityDecrease=5;ReloadAPIncrease=1;MagazineSize=12,,Clip,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_30_45,Магазин на 45 патрон,Magazine,25,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;MagazineSizeAdd,extra_shots=5;ReliabilityDecrease=5;ReloadAPIncrease=1;MagazineSize=15,,Clip,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_5_10,Магазин на 10 патрон,Magazine,25,0,MagazineHandlingDecrease;ReduceReliability;IncreaseReloadAP;MagazineSizeMultiplier,extra_shots=5;ReliabilityDecrease=5;ReloadAPIncrease=1;MagazineSizeMultiplier=200,,Clip,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_7_10,Магазин на 10 патрон,Magazine,25,0,ReduceReliability;MagazineSizeMultiplier,ReliabilityDecrease=5;MagazineSizeMultiplier=142,,Clip,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarge_8_10,Магазин на 10 патрон,Magazine,25,0,ReduceReliability;MagazineSizeMultiplier,ReliabilityDecrease=5;MagazineSizeMultiplier=125,,Clip,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLargeFine,Ergonomic Expanded Mag,Magazine,25,0,MagazineSizeMultiplier,MagazineSizeMultiplier=150,,Clip,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagLarger,Бубен,Magazine,25,0,ExtraBurstShots;ExtraAutoShots;ExtraOverwatchShots;ReduceReliability;IncreaseReloadAP;ReduceAimAccuracy15Percent,extra_shots=5;ReliabilityDecrease=15;ReloadAPIncrease=2,,Clip,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagNormal,Заводской магазин,Magazine,25,0,,,,Clip,106,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagNormalFine,Fine-Tuned Mag,Magazine,15,0,IncreaseReliability,ReliabilityIncrease=10,,Clip,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagNormalG18,Магазин на 20 патрон,Magazine,25,0,,MagazineSizeMultiplier=117,,Clip,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagQuick,Quick Mag,Magazine,15,0,ReduceReloadAP,ReloadAPDecrease=1,,Clip,8,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagSmall20_10,Магазин на 10 патрон,Magazine,15,0,ReduceReloadAP;IncreaseReliability;ReduceMagazineSize;MagazineHandlingIncrease,ReloadAPDecrease=1;ReliabilityIncrease=15;MagazineSizeDecrease=10,,Clip,5,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagSmall30_15,Магазин на 15 патрон,Magazine,15,0,ReduceReloadAP;IncreaseReliability;ReduceMagazineSize;MagazineHandlingIncrease,ReloadAPDecrease=1;ReliabilityIncrease=15;MagazineSizeDecrease=15,,Clip,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MagSmall30_20,Магазин на 20 патрон,Magazine,15,0,ReduceReloadAP;IncreaseReliability;ReduceMagazineSize;MagazineHandlingIncrease,ReloadAPDecrease=1;ReliabilityIncrease=15;MagazineSizeDecrease=10,,Clip,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MGmug,"Ещё один бубенец, только пулеметный",Magazine,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ModernSupressor,Мультикалиберная банка,Muzzle,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MP5_Handguard,Basic Handguard,Under,2,-25,,,,MP5 Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
MP5A4FlashLight,Фонарь для MP5A4,Side,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MP5A4RedDot,ЛЦУ для Цевья MP5A4,Side,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MP5MagV2,Магазин для МР5 на 30 патронов,Magazine,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Mp7_Fld_Grip,Сложенная рукоять,Under,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MP7_SideRail,Боковые направляющие,Mountside,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MP7_Unfld_Grip,Разложенная рукоять,Under,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MuzzleBooster,Recoil Booster,Muzzle,15,0,,,,Muzzle,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
MuzzleBooster_Glock18,Default Chamber,Handguard,15,0,ExtraBurstShots,,,Glock18 Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
PistolSuppressor,Глушитель,Muzzle,10,-10,RecoilDecrease;ReduceReliability;SilencerGroupingReduce10;SilencerHandlingReduce;StealthKillBonusPerAim;SilentShots,NoiseMultiplier=15;Recoil=1;RangeDecrease=3;ReliabilityDecrease=5;SilencerHandlingReduce=5;crit=25;stealth_kill_bonus=80,FineSteelPipe=1;Parts=50,Muzzle,25,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
PKMDefHandGrip,Заводская рукоять ПКМ,Handguard,0,0,,,,Default,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
PKMModern,Комплект кастомных планок для ПКМ,Mount,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
PKMModHandGrip,Модифицированная рукоять ПКМ,Handguard,0,0,,,,Default,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
PKMModStock,Кастомный приклад ПКМ,Stock,0,0,,,,Default,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
PSG_DefaultScope,Default Scope,Scope,2,-25,IncreaseMaxAimActions,IncreaseMaxAimActions=1,,PSG1-Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
R870AmmoSide_1,Патронтаж для 870го рема,Side,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ReflexSight,Коллиматор,Scope,50,0,DecreaseMaxAimActions;ExtraOverwatchShots;IncreaseOverwatchAngle;MinAim,OverwatchAngleIncrease=140;MaxAimActionsDecrease=1;extra_attacks=1,Microchip=1;OpticalLens=1,Scope,12,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ReflexSightAdvanced,Улучшенный коллиматор,Scope,100,10,DecreaseMaxAimActions;OpportunityAttackBonusCth;IncreaseOverwatchAngle;MinAim,OverwatchAngleIncrease=140;MaxAimActionsDecrease=1;extra_attacks=1,Microchip=3;OpticalLens=2,Scope,9,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ReflexSightAdvanced_Glock,Advanced Reflex Sight,Scope,35,0,OpportunityAttackBonusCth;IncreaseAimAccuracy;IncreaseOverwatchAngle,AimAccuracyIncrease=1;OverwatchAngleIncrease=140,Microchip=1,Glock18 Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
RPK74_Hanguard_Basic,Default Handguard,Handguard,0,-25,,,,RPK 74 Specific,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
RPK74_VerticalGrip,Vertical Grip,Handguard,40,20,RecoilDecrease,Recoil=1,,RPK 74 Specific,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ScopeCOG,Прицел малой кратности,Scope,50,0,FirstShotIncreasedAim;ReduceAuto25Percent;ReduceBurst25Percent;IncreaseShotAP,min_aim=2;ShotAP=1,OpticalLens=1;FineSteelPipe=1,Scope,8,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ScopeCOGQuick,Штурмовой прицел,Scope,100,0,FirstShotIncreasedAim;ReduceAuto25Percent;ReduceBurst25Percent;IncreaseAimAccuracy;IncreaseShotAP,AimAccuracyIncrease=10;min_aim=2;ShotAP=1,OpticalLens=3;FineSteelPipe=3,Scope,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
SigDefHandGuard,Заводская рукоять Sig,Handguard,0,0,,,,Underslung,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
SigErgoHandGrip,Эргономичная рукоять для Sig,Handguard,0,0,GripHandlingIncrease,,,Underslung,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
SpeedLoader,Ускорение перезарядки,Side2,30,0,ReduceReloadAP,ReloadAPDecrease=2,,Muzzle,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
StockBump,Bump Stock,Stock,15,20,EnableFullAuto,,FineSteelPipe=1,Stock,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
StockFolded,Folded Stock,Stock,50,20,ReduceAimAccuracy;ExtraOverwatchShots,extra_attacks=1;crit_display=15;accuracy_penalty=-50,,Stock,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
StockFull,Деревянный приклад АК,Stock,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
StockHeavy,Heavy Stock,Stock,40,20,IncreaseAimAccuracy15Percent,range=10;bonus_cth=10,,Stock,14,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
StockHeavy_AR_BurstOnly,Heavy Stock,Stock,30,20,BonusAccuracyWhenFullyAimed;NoFullAuto,range=10;bonus_cth=10,,Stock,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
StockLight,Light Stock,Stock,150,20,RecoilIncrease;StockHandlingIncrease,Recoil=1;StockHandlingIncrease=5,FineSteelPipe=1,Stock,9,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
StockLight_AR_BurstOnly,Light Stock,Stock,15,20,ReduceAimAccuracy;NoFullAuto;ExtraOverwatchShots,extra_attacks=1;crit_display=15;accuracy_penalty=-50,,Stock,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
StockLightFolded,Складной приклад (Сложенный),Stock,50,20,ReduceAimAccuracy90Percent;ReduceShootAP;RecoilIncrease;zzStockEquipped;ExtraOverwatchShots;StockHandlingIncrease;DecreaseMaxAimActions,Recoil=5;ShootAPDecrease=1;MaxAimActionsDecrease=1,FineSteelPipe=1,Stock,31,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
StockLightUnFolded,Рамочный приклад (Разложенный),Stock,50,20,zzStockEquipped,,,Stock,31,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
StockNo,No Stock,Stock,15,20,ReduceShootAP;ReduceAimAccuracy90Percent;RecoilIncrease;ExtraOverwatchShots;StockHandlingIncrease,extra_attacks=1;ShootAPDecrease=1;Recoil=5;StockHandlingIncrease=15;crit_display=15;accuracy_penalty=-50,,Stock,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
StockNormal,Default Stock,Stock,50,0,RecoilDecrease;IncreaseAimAccuracy15Percent,Recoil=1,FineSteelPipe=1,Stock,29,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
